繪圖紅樓夢卷一 ||| Họa đồ Hồng Lâu Mộng, quyển thứ nhất.
__到的士隱不待詠完便道兄何不早言弟已久有此_意但每遇兄時__並未談及_故未敢唐突今旣如此弟雖不才義利二字却還識得且喜 ||| Sĩ Ẩn nghe vậy liền nói: "Sao huynh không nói sớm? Ta vẫn có ý đó, chỉ là thấy huynh không đề cập nên không dám mạo muội. Dù ta bất tài, nhưng hai chữ nghĩa lợi vẫn hiểu rõ. Nay huynh đã có ý, ta xin giúp huynh một tay."
__明歲正當大比兄宜作速入都春_圈一_捷方不負兄之所學_其盤費餘事弟自代爲處置亦不枉兄之謬識矣當下卽命小童進去速對五 ||| Sang năm có khoa thi, huynh nên lên kinh ứng thí ngay. Một khi bảng vàng đã đề tên, mới không phụ công học hành của huynh. Còn tiền lộ phí, đệ xin thu xếp giúp, không dám phụ lòng tin yêu của huynh đối với đệ.
___________十兩白銀_並兩套冬衣又云十九日乃黄道之期兄可卽買舟西土待雄飛高舉明冬再晤豈非大快之事_雨村收了銀衣不過略謝一語 ||| Lại đưa thêm mười lạng bạc và hai bộ áo ấm mùa đông, rồi nói rằng ngày mười chín là ngày hoàng đạo, huynh nên mua thuyền đi về phía tây, đợi ngày vinh hiển, mùa đông năm sau gặp lại, há chẳng phải là một chuyện vui lớn sao!
市不介意仍是吃酒談笑那天已交_三_鼓二人方散士隱送雨村去_後回房一覺直至红日三竿方醒因思昨夜之事意欲寫薦書兩封與 ||| Sĩ Ẩn tiễn Vũ Thôn về rồi vào buồng ngủ một mạch, khi mặt trời lên ba con sào mới dậy. Nhân nghĩ việc đêm qua, Sĩ Ẩn muốn viết hai bức thư, gởi cho người quen làm ở Kinh, tiến cử Vũ Thôn, để Vũ Thôn có chỗ nương thân.
雨村帶至都中去使雨村投謁個任宦之家爲寄身之地因使人過去請時那家人__回來說和尙說賈爺今日五鼓已進京去了也曾留下_____________________________ ||| Vũ Thôn được người đưa đến kinh đô, nhờ người quen tìm một chỗ nương thân. Người kia nói rằng hòa thượng ở miếu nói lại, Giả công tử đã lên kinh từ canh năm, người đọc sách không cần xem ngày tốt xấu, chỉ cần được việc là đi, nên không kịp từ biệt.
話與和尙轉達老萧說讀書人不在黄道黑道總以事理爲要不及面辭了士隱聽了也只得罷了眞是閒處光陰易過倏忽又是元寳佳 ||| Lời nói với hòa thượng, chuyển đến lão Tiêu rằng người đọc sách không câu nệ ngày hoàng đạo hay hắc đạo, chỉ cần hợp lẽ phải, nên không kịp cáo từ.
節士隐令家人霍啓抱了英蓮去看社火花燈半夜中霍啓因要小解便將英蓮放在_人家門槛上坐着待他小解完了來抱時那有英蓮 ||| Tiết Nguyên Tiêu, Chân Sĩ Ẩn sai gia nhân Hoắc Khải bế Anh Liên đi xem hội hoa đăng. Nửa đêm, Hoắc Khải đặt Anh Liên ngồi trước cửa một nhà rồi đi tiểu. Khi quay lại thì Anh Liên đã biến mất.
的蹤影急_的霍啓直尋了半夜至天明不見那霍啓也_不敢回來見主人便逃往他鄕去了那生隐夫婦見女兒一夜不歸便知有些不好 ||| Hoắc Khải hốt hoảng tìm kiếm khắp nơi, đến tận sáng vẫn không thấy bóng dáng Anh Liên, sợ hãi không dám về nhà bẩm báo, liền bỏ trốn biệt xứ. Vợ chồng Sĩ Ẩn thấy con gái đi cả đêm không về, biết có chuyện chẳng lành.
再使幾個人去找尋回來皆云影響全無夫婦二人半世只生此女一日失去何等煩惱因此書夜啼哭幾乎不顧性命看看一月士际已 ||| Lại sai người đi tìm kiếm khắp nơi, nhưng tin tức vẫn bặt vô âm tín. Vợ chồng Chân Sĩ Ẩn nửa đời người mới sinh được mụn con gái, nay bỗng dưng lạc mất, nỗi đau đớn khôn nguôi, ngày đêm khóc than, sống dở chết dở.
先得病关人封氏也因思女造疾日日請醫問卦不想這日三月十五葫蘆廟中炸供那_和尚不_小心__油鍋火逸便燒着窗紙此方人家俱 ||| Vì thương nhớ con Sĩ Ẩn lâm bệnh, vợ là họ Phong cũng ốm theo, ngày ngày thuốc thang cầu cúng. Đến rằm tháng ba, tại miếu Hồ Lô mở hội cúng tế, vị hòa thượng bất cẩn để lửa từ chảo dầu bén vào giấy dán cửa sổ.
_____用竹_築木壁___也_是劫數_應當如此於是接二連三牽五_掛四將一條街燒得如火_燄山一般彼時雖有軍民來救那火已成了勢了如阿故 ||| Cũng bởi nhà cửa đều vách gỗ tường tre, lại thêm số trời đã định, nên lửa bén nhanh chóng, nhà nọ cháy sang nhà kia, cả con phố bỗng chốc bốc lên như một ngọn núi lửa. Dù có quân dân đến cứu chữa, nhưng lửa đã bùng lên dữ dội, không thể nào dập tắt được.
得下直燒了一夜方_____息也不知燒了_多少人家只可_憐甄家在隔壁早__成了一_堆瓦礫場了只有他夫婦並幾個家人的性命不曾傷了急 ||| Ngọn lửa hung tàn thiêu đốt suốt đêm mới lụi tàn, không biết đã thiêu rụi bao nhiêu nhà cửa. Đáng thương nhất là nhà họ Chân ở ngay sát vách, chỉ còn lại một đống gạch ngói đổ nát, may mắn thay vợ chồng và người nhà đều bình an vô sự.
__的十隐惟跌足長歎而已___與妻子商議且到田_莊上去住偏值近年水旱不收盜賊蜂起官兵剿摘田莊上又難以安身品得將国场都折 ||| Chỉ còn biết dậm chân thở dài, bàn với vợ về quê ở. Nhưng năm đó lại gặp mất mùa, trộm cướp nổi lên như ong, tranh giành ruộng đất, dân tình khổ sở trăm bề. Quan quân thì ra sức đàn áp, khiến cho cuộc sống càng thêm khó khăn.
繪圖紅樓夢卷一第一回 ||| Quyển thứ nhất của Hồng Lâu Mộng, có tựa đề 'Họa đồ Hồng Lâu Mộng'
五 ||| Năm
繪圖红樓夢卷一第二回 ||| Bức họa Hồng Lâu Mộng, quyển thứ nhất, hồi thứ hai.
六 ||| Chương này không có nội dung tương ứng với dòng chữ được cung cấp.
多時眼閉了世人都曉神仙好只有_姣妻忘不了君生日日說恩情君死叉隨人去了世人都境神仙好只有兒孫忘不了瘙心父母 ||| Người đời mải mê danh lợi, cứ ngỡ thần tiên là hay, nào hay công danh chỉ là mộng ảo. Người đời tham lam của cải, chất chứa đầy kho, đến khi nhắm mắt cũng chẳng mang theo được. Người đời say đắm ái tình, khi sống thì ân ái mặn nồng, khi chết lại vội vàng theo người khác. Người đời mong con đàn cháu đống, nào hay cha mẹ chỉ thêm sầu não, con hiền cháu thảo có được mấy ai.
____古來多孝順_子孫推見了 ||| Xưa nay cha mẹ thực khờ thay, Con hiền cháu thảo ai thấy đây!
士__隐聽了便迎上來道你滿口說些什_麽只_聽見些好了好了那道人笑道你若果_聽見好了二字還算你明白可知世十萬般好便是了 ||| Sĩ Ẩn nghe thấy, lại ngay trước mặt hỏi: - Người đọc những câu gì mà chỉ nghe thấy "hảo liễu" "hảo liễu" thôi. Đạo sĩ cười đáp: - Nếu đã nghe thấy hai chữ "hảo" và "liễu" thì cũng đáng khen cho ngươi là sáng suốt.
了便是好若不了便不好若要好須是了我這歌_兒便_叫好了歌土隐本是有_夙慧的一聞此言心中早已_悟徹因笑道且住待我將你道 ||| Nếu đã nghe thấy hai chữ "hảo" và "liễu" thì cũng đáng khen cho ngươi là sáng suốt. Phải biết muôn việc ở đời "hảo" tức là "liễu", "liễu" tức là "hảo", nếu không "liễu" thì không "hảo", mà muốn "hảo" thì phải "liễu". Vì thế bài hát này ta gọi là bài "hảo liễu ca".
_____好了歌_注解出來何如道人笑道__你就請解士隐乃說道__________________ ||| Đạo sĩ cười đáp: - Nếu đã nghe thấy hai chữ "hảo" và "liễu" thì cũng đáng khen cho ngươi là sáng suốt. Phải biết muôn việc ở đời "hảo" tức là "liễu", "liễu" tức là "hảo", nếu không "liễu" thì không "hảo", mà muốn "hảo" thì phải "liễu".
陋室空堂當年笏滿床衰草枯楊曾爲歌舞場蛛絲_兒結滿雕梁綠紗今又_在逢窗上說甚麻脂正濃粉正香如何兩增又成霜昨日 ||| Giờ đây lều cỏ vắng tanh, trước kia trâm hốt đầy giường. Cỏ cây ngổn ngang, nơi đây từng là vũ trường ca hát. Tơ nhện giăng đầy xà chạm, màn the rũ xuống bên cửa sổ.
__黄土隴頭_埋白骨今宵紅_綃帳底臥鴛鴦金滿箱銀滿箱_轉眼乞丐人皆謗正嘆他人命不長那知自己歸來喪訓有方保不定日後 ||| Than ôi, cát vàng gò hoang chôn nắm xương tàn, đêm nay gấm lụa uyên ương say giấc nồng. Vàng bạc đầy rương, thoáng chốc ăn mày, người đời phỉ báng. Than người mệnh bạc, nào hay số mình cũng về nơi chín suối. Dạy dỗ có hay, nào ai dám chắc ngày sau.
作強梁擇會粱誰承望流落在_烟花巷因嫌紗帽小致使鎖枷打昨_堂破襖寒今姚紫蝣長谢烘烘你方唱罷我登場反認他鄕是故_ ||| Sao chê mũ nhỏ lại vương gông cùm,
Áo rách co ro, áo bào lại dài.
Sân khấu vừa tàn, người lên thay thế.
鄕甚荒唐到頭來都是爲他人作嫁衣裳 ||| Thật là dại dột điên đảo, đến khi quay đầu nhìn lại mới tỉnh ngộ, thì ra bao nhiêu công sức may áo cưới đều là vì người khác!
那瘋跛道人_聽了拍_手大笑道解得切解得切士隐便說一聲走罷將道人肩上的搭杭拾了過來背上竟不回家同着瘋道人湘票而去 ||| Đạo sĩ khiễng chân nghe xong, vỗ tay cười lớn mà rằng: "Giải nghĩa rất đúng! Giải nghĩa rất đúng!"
當下_哄動街坊衆人當作一件新聞傳說封氏聞_知此信哭個死去活來只得_與父_母商議遣人各處訪善那討音信無奈何只得依靠着 ||| Khi ấy, tin tức lan truyền khắp phố phường, ai nấy đều coi đó là một chuyện lạ. Họ Phong nghe tin, khóc lóc thảm thiết, rồi bàn với cha mẹ sai người đi tìm khắp nơi, nhưng vẫn bặt vô âm tín, đành phải ngậm ngùi sống nương nhờ cha mẹ qua ngày.
輪内福着一個烏帽猩袍的官府來了_那丁媛倒發了個怔自思這官兒好面善倒像在那_裏見過的於是進入房中也就丢福不在心上 ||| Bỗng thấy một viên quan mặc áo bào đỏ, đội mũ ô đi tới, a hoàn kia ngẩn người nghĩ thầm: "Sao quan này trông quen mắt, hình như đã gặp ở đâu rồi?" Rồi nàng vào nhà, cũng chẳng để ý đến nữa.
至晚者正待融息之時忽_聽一片聲打的門響許多人亂唯說本_縣太爺的差人來傳人問話封肅_聽了_特得目瞪口呆不知有阿禍事且 ||| Đến tối, lúc sắp đi nghỉ, chợt có tiếng gõ cửa, nhiều người nói ồn ào: "Người nhà của quan huyện đến hỏi có việc!". Phong Túc nghe thấy sợ tái người, không biết cớ tai vạ gì.
_各各驚慌不知何事至二更時分封肅方回來景人忙問端的原來新任太爺姓賈名化本湖州人氏曾與安壻舊交因在我們門首看見 ||| Mọi người đều kinh hoàng không biết có chuyện gì, đến canh hai thì Phong Túc mới trở về, vẻ mặt hớn hở. Người nhà vội vàng hỏi han, Phong Túc liền kể: "Quan tân nhậm họ Giả tên Hóa, người ở Hồ Châu, vốn là bạn cũ của con rể ta. Vừa rồi đi ngang qua cửa, thấy con Kiều Hạnh mua chỉ, đoán là con rể ta dời đến đây nên mới gọi lại hỏi han."
婚杏了頭買線只說女婿移__住此間所以來傳我將_綠故回明那太希__感傷歎息了一国又問外孫女_兒我說看燈丢了太希說不妨待我 ||| Khi quan đi qua cửa nhà ta, trông thấy con Kiều Hạnh mua chỉ, đoán rể ta dời đến đây, nên gọi lại hỏi. Ta kể rõ đầu đuôi, quan thương cảm thở dài một lúc lâu, lại hỏi đến cháu ngoại ta, ta nói cháu đi xem hội bị lạc mất. Quan nói: "Việc ấy không ngại, ta sẽ sai người đi dò xét cho".
錦綬各謝甄家娘子又一封密書與封肅託他向甄家娘子要那嬌杏作二房封肅喜得湄開眼笑巴不得去奉承太爺便在女兒前一力 ||| Lại đưa một phong thư kín cho Phong Túc, nhờ nói với vợ họ Chân xin cưới Kiều Hạnh làm vợ hai. Phong Túc cười mừng hớn hở, chỉ sợ không được vừa lòng quan, nên trước mặt con gái hết sức nói hùn vào.
投掇當夜用一乘小轎便把嬌杏送進衙内去了雨村苡喜自不必__言又封百金赠與封南__又送甄家娘子許多禮物_令其____且自過活以待______ ||| Đêm đó, Vũ Thôn sai người dùng một chiếc kiệu nhỏ đưa Kiều Hạnh vào phủ. Hắn vô cùng vui mừng, lại cho Phong Túc một trăm lạng bạc, và tặng cho vợ họ Chân nhiều lễ vật, dặn dò cứ yên tâm, sau này sẽ tìm con gái giúp.
訪尋女兒下落却說嬌杏_那了_頭便是_當年网顧雨村的因偶然一看便弄出道段奇綠也是意想不到之事誰知他命運兩濟不承望自 ||| Lại nói về Kiều Hạnh, vốn là người năm xưa đã vô tình liếc nhìn Giả Vũ Thôn, chỉ vì một cái nhìn thoáng qua mà nên duyên kỳ ngộ, thật là chuyện khó ai ngờ tới.
___________到雨村身邊民一年便生_一子又半載雨村城_配忽染疾下世雨村便將他抉_作正室夫入_正是 ||| Vừa hay vận mệnh tốt đẹp, nàng về với Vũ Thôn chưa đầy một năm đã sinh hạ quý tử. Lại nửa năm sau, phu nhân của Vũ Thôn qua đời, chàng liền lập nàng làm chính thất, thật là:
